#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD973B
#Date Time: 2021-05-02 20:39:04.320
#Sample rate: 2.12766e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.3371 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: -2.9 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: -2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 2 (V)
-2.397e-05,4.035654239768469
-2.35e-05,4.035654239768469
-2.303e-05,4.035654239768469
-2.256e-05,4.03192296970516
-2.209e-05,4.035654239768469
-2.162e-05,4.035654239768469
-2.115e-05,4.035654239768469
-2.068000000000003e-05,4.035654239768469
-2.021e-05,4.03192296970516
-1.974000000000002e-05,4.035654239768469
-1.927e-05,4.035654239768469
-1.880000000000002e-05,4.028191699641851
-1.833e-05,4.028191699641851
-1.786000000000002e-05,4.024460429578541
-1.738999999999999e-05,4.024460429578541
-1.692000000000002e-05,4.020729159515232
-1.644999999999999e-05,4.024460429578541
-1.598000000000002e-05,4.024460429578541
-1.550999999999999e-05,4.024460429578541
-1.504000000000002e-05,4.020729159515232
-1.456999999999999e-05,4.024460429578541
-1.410000000000002e-05,4.020729159515232
-1.362999999999999e-05,4.020729159515232
-1.316000000000002e-05,4.024460429578541
-1.268999999999999e-05,4.024460429578541
-1.222000000000002e-05,4.024460429578541
-1.174999999999999e-05,4.020729159515232
-1.128000000000001e-05,4.020729159515232
-1.080999999999999e-05,4.024460429578541
-1.034000000000001e-05,4.024460429578541
-9.869999999999985e-06,4.020729159515232
-9.400000000000012e-06,4.020729159515232
-8.929999999999984e-06,4.016997889451924
-8.46000000000001e-06,4.016997889451924
-7.989999999999983e-06,4.016997889451924
-7.520000000000009e-06,4.016997889451924
-7.049999999999982e-06,4.020729159515232
-6.580000000000008e-06,4.016997889451924
-6.10999999999998e-06,4.016997889451924
-5.640000000000007e-06,4.020729159515232
-5.169999999999979e-06,4.013266619388614
-4.700000000000006e-06,4.013266619388614
-4.229999999999978e-06,4.013266619388614
-3.760000000000005e-06,4.013266619388614
-3.289999999999977e-06,4.016997889451924
-2.820000000000003e-06,4.016997889451924
-2.349999999999976e-06,4.013266619388614
-1.880000000000002e-06,4.013266619388614
-1.409999999999975e-06,4.009535349325304
-9.400000000000012e-07,4.013266619388614
-4.699999999999735e-07,4.016997889451924
0,4.020729159515232
4.700000000000277e-07,4.016997889451924
9.400000000000012e-07,4.013266619388614
1.409999999999975e-06,4.009535349325304
1.880000000000002e-06,4.005804079261996
2.349999999999976e-06,4.005804079261996
2.820000000000003e-06,4.009535349325304
3.289999999999977e-06,4.016997889451924
3.760000000000005e-06,4.013266619388614
4.229999999999978e-06,4.009535349325304
4.700000000000006e-06,4.009535349325304
5.169999999999979e-06,4.013266619388614
5.640000000000007e-06,4.009535349325304
6.10999999999998e-06,4.009535349325304
6.580000000000008e-06,4.009535349325304
7.049999999999982e-06,4.009535349325304
7.520000000000009e-06,4.009535349325304
7.989999999999983e-06,4.009535349325304
8.46000000000001e-06,4.009535349325304
8.929999999999984e-06,4.005804079261996
9.400000000000012e-06,4.002072809198687
9.869999999999985e-06,4.005804079261996
1.034000000000001e-05,4.005804079261996
1.080999999999999e-05,4.009535349325304
1.128000000000001e-05,4.005804079261996
1.174999999999999e-05,4.005804079261996
1.222000000000002e-05,4.005804079261996
1.268999999999999e-05,4.005804079261996
1.316000000000002e-05,3.998341539135377
1.362999999999999e-05,4.005804079261996
1.410000000000002e-05,4.009535349325304
1.456999999999999e-05,4.005804079261996
1.504000000000002e-05,4.002072809198687
1.550999999999999e-05,4.005804079261996
1.598000000000002e-05,4.009535349325304
1.644999999999999e-05,4.009535349325304
1.692000000000002e-05,4.005804079261996
1.738999999999999e-05,4.002072809198687
1.786000000000002e-05,3.998341539135377
1.833e-05,4.005804079261996
1.880000000000002e-05,4.005804079261996
1.927e-05,4.005804079261996
1.974000000000002e-05,4.009535349325304
2.021e-05,4.005804079261996
2.068000000000003e-05,4.009535349325304
2.115e-05,4.005804079261996
2.162000000000003e-05,4.005804079261996
2.209e-05,4.005804079261996
2.256000000000003e-05,4.009535349325304
2.303e-05,4.009535349325304
2.349999999999997e-05,4.005804079261996
2.397e-05,4.005804079261996
2.443999999999998e-05,4.002072809198687
2.491e-05,3.994610269072068
2.537999999999998e-05,3.998341539135377
2.585e-05,3.998341539135377
2.631999999999998e-05,3.998341539135377
2.679000000000001e-05,3.998341539135377
2.725999999999998e-05,3.998341539135377
2.773000000000001e-05,3.998341539135377
2.819999999999998e-05,4.002072809198687
2.867000000000001e-05,4.005804079261996
2.913999999999998e-05,4.005804079261996
2.961000000000001e-05,4.002072809198687
3.007999999999998e-05,3.998341539135377
3.055000000000001e-05,3.994610269072068
3.101999999999998e-05,3.990878999008759
3.149000000000001e-05,3.994610269072068
3.195999999999999e-05,3.994610269072068
3.243000000000001e-05,3.994610269072068
3.289999999999999e-05,3.994610269072068
3.337000000000001e-05,3.994610269072068
3.383999999999999e-05,3.994610269072068
3.431000000000002e-05,3.994610269072068
3.477999999999999e-05,3.998341539135377
3.525000000000002e-05,3.998341539135377
3.571999999999999e-05,4.002072809198687
3.619000000000002e-05,4.005804079261996
3.665999999999999e-05,4.002072809198687
3.713000000000002e-05,4.002072809198687
3.759999999999999e-05,4.005804079261996
3.807000000000002e-05,4.005804079261996
3.853999999999999e-05,4.002072809198687
3.901000000000002e-05,4.005804079261996
3.947999999999999e-05,3.998341539135377
3.995000000000002e-05,4.002072809198687
4.042e-05,4.002072809198687
4.089000000000002e-05,3.998341539135377
4.136e-05,4.002072809198687
4.183000000000002e-05,3.994610269072068
4.23e-05,3.998341539135377
4.277000000000003e-05,3.994610269072068
4.324e-05,3.994610269072068
4.371000000000003e-05,3.998341539135377
4.418e-05,4.002072809198687
4.465000000000003e-05,3.998341539135377
4.512e-05,3.998341539135377
4.558999999999998e-05,3.998341539135377
4.606e-05,3.998341539135377
4.652999999999998e-05,3.998341539135377
4.7e-05,3.998341539135377
4.746999999999998e-05,3.998341539135377
4.794000000000001e-05,3.998341539135377
4.840999999999998e-05,3.994610269072068
4.888000000000001e-05,3.994610269072068
4.934999999999998e-05,3.990878999008759
4.982000000000001e-05,3.990878999008759
5.028999999999998e-05,3.990878999008759
5.076000000000001e-05,3.990878999008759
5.122999999999998e-05,3.990878999008759
5.170000000000001e-05,3.990878999008759
5.216999999999998e-05,3.990878999008759
5.264000000000001e-05,3.990878999008759
5.310999999999998e-05,3.990878999008759
5.358000000000001e-05,3.994610269072068
5.404999999999999e-05,3.994610269072068
5.452000000000001e-05,3.990878999008759
5.498999999999999e-05,3.994610269072068
5.546000000000001e-05,3.994610269072068
5.592999999999999e-05,3.998341539135377
5.640000000000002e-05,3.994610269072068
5.686999999999999e-05,3.998341539135377
5.734000000000002e-05,3.998341539135377
5.780999999999999e-05,3.994610269072068
5.828000000000002e-05,3.994610269072068
5.874999999999999e-05,3.994610269072068
5.922000000000002e-05,3.998341539135377
5.968999999999999e-05,4.002072809198687
6.016000000000002e-05,3.998341539135377
6.062999999999999e-05,4.002072809198687
6.110000000000002e-05,3.994610269072068
6.156999999999999e-05,3.998341539135377
6.204000000000002e-05,3.994610269072068
6.251e-05,3.994610269072068
6.298000000000002e-05,3.994610269072068
6.345e-05,3.998341539135377
